doy,clim_mean,clim_q10,clim_q90,clim_q01,clim_q99
235,24.47361111111111,21.4,26.950000000000003,20.8175,29.224999999999998
236,25.016666666666666,22.375,27.65,20.8475,29.095
237,25.418055555555554,22.775,28.475,22.0725,29.7025
238,25.629166666666666,23.025,27.924999999999997,21.590000000000003,29.81
239,25.844444444444445,22.55,27.85,21.310000000000002,29.5075
240,26.134722222222223,23.225,29,20.985000000000003,29.7825
241,25.918055555555554,22.65,29.450000000000003,19.0925,30.609999999999996
242,25.229166666666668,20.85,28.475,19.61,30.0925
243,25.205555555555556,20.950000000000003,28.450000000000003,20.1925,29.7425
244,24.641666666666666,20.275,28.375,17.605,29.8075
245,24.386111111111113,20.700000000000003,28.65,16.8,29.377499999999998
246,24.634722222222223,21.5,27.975,20.1525,30.202499999999997
247,24.905555555555555,21.725,28,18.375,30.09
248,24.595833333333335,20.3,28.125,19.005,30.435
249,24.033333333333335,20.125,28.200000000000003,18.080000000000002,30.055
250,23.881944444444446,20.549999999999997,27.75,17.9875,30.257499999999997
251,23.705555555555556,20.4,27.275000000000002,18.545,28.4575
252,23.504166666666666,19.174999999999997,26.375,18.235,28.495
253,23.541666666666668,20,26.049999999999997,17.99,29.68
254,23.05,19.175,26.35,17.9925,29.224999999999998
255,22.831944444444446,19.475,26.549999999999997,18.51,28.16
256,23.043055555555554,21.025,25.275,18.1375,27.345
257,23.156944444444445,18.375,26.7,17.799999999999997,28.32
258,22.994444444444444,18.775,27.25,16.98,28.4075
259,22.081944444444446,18.1,26.4,14.552499999999998,29.095000000000002
260,21.229166666666668,16.85,25.575000000000003,14.9225,28.769999999999996
261,21.490277777777777,17.3,24.4,14.475,26.834999999999997
262,21.7,18.6,24.799999999999997,16.5325,25.955
263,21.295833333333334,16.675,25.25,15.5175,26.6525
264,20.913888888888888,16.15,24.15,14.802500000000002,26.814999999999998
265,21.5,16.4,25.099999999999998,14.145,26.919999999999998
266,20.95,16.375,26.275,13.767500000000002,27.694999999999997
267,20.17361111111111,16.35,25,13.540000000000001,28.544999999999998
268,20.26388888888889,16.525000000000002,23.6,13.9425,28.0225
269,20.025,15.425,24.675,13.137500000000001,25.4625
270,20.49861111111111,16.975,24.3,11.9475,27.695
271,20.365277777777777,15.7,23.75,14.0425,24.595000000000002
272,19.87361111111111,16.125,23.2,15.03,26.189999999999998
273,17.680555555555557,13.875,22.65,-7.579999999999997,24.334999999999997
274,17.958333333333332,13.850000000000001,21.450000000000003,11.504999999999999,23.4525
275,18.25,12.55,23.25,9.6575,26.804999999999996
276,18.697222222222223,12.45,23.75,9.5225,25.86
277,19.25,13.625,24.299999999999997,11.0075,25.302500000000002
278,18.59027777777778,13.45,23.450000000000003,10.594999999999999,25.325
279,18.391666666666666,13.600000000000001,23.900000000000002,11.232500000000002,25.347499999999997
280,18.483333333333334,12.05,23.65,10.9675,25.522499999999997
281,17.5375,11.825,22.9,9.7575,26.294999999999998
282,17.977777777777778,12.725,24.15,9.61,27.559999999999995
283,17.92638888888889,13.75,23.625,9.6375,25.82
284,17.3625,13.725,21.25,10.399999999999999,24.874999999999996
285,16.694444444444443,12.75,20.05,11.6675,22.75
286,16.59583333333333,13.175,20.025000000000002,9.3875,23.544999999999995
287,16.241666666666667,11.8,20.85,9.642499999999998,22.682499999999997
288,16.31388888888889,12.899999999999999,20.55,8.9275,23.0225
289,15.640277777777778,12.65,19.325,8.15,22.759999999999998
290,15.152777777777777,11.55,19.75,8.075,22.22
291,14.7375,10.4,19.55,7.9399999999999995,21.904999999999998
292,14.654166666666667,10.25,18.450000000000003,8.185,20.9075
293,14.875,10.55,18.875,7.824999999999999,21.952499999999997
294,14.5875,11.4,18.325000000000003,6.452500000000001,22.469999999999995
295,14.558333333333334,11.25,19.35,8.370000000000001,20.9075
296,14.431944444444445,9.600000000000001,20,7.2275,22.744999999999994
297,14.166666666666666,9,18.625,7.99,22.284999999999997
298,14.163888888888888,9,19.4,7.635,21.197499999999998
299,13.929166666666667,9.6,18.9,8.235,19.8825
300,13.968055555555555,10.5,19.025,7.8,22.145
301,13.526388888888889,8.175,18.175,7.8,21.434999999999995
302,12.723611111111111,8.075,17.725,4.6975,20.537499999999994
303,12.434722222222222,9.425,15.899999999999999,5.397500000000001,18.662499999999994
304,13.536111111111111,7.625,18.575000000000003,6.31,20.377499999999998
305,13.813888888888888,8.8,18.35,6.842500000000001,21.64
306,12.993055555555555,7.675,18.775,5.904999999999999,21.0175
307,12.005555555555556,7.3,17.375,5.1325,19.79
308,11.343055555555555,6.074999999999999,16.225,2.8549999999999995,19.755
309,11.818055555555555,6.525,16.924999999999997,2.9875000000000007,21.924999999999997
310,12.38888888888889,7.05,18.900000000000002,5.2225,21.08
311,11.581944444444444,7.075,17.4,4.805,22.29
312,11.166666666666666,5.824999999999999,15.825,5,21.494999999999994
313,11.104166666666666,5.1000000000000005,16.4,2.9425,18.869999999999997
314,10.97638888888889,5.55,16.1,3.9875000000000003,17.8
315,10.268055555555556,5.975,16.525,1.4525000000000001,18.11
316,10.48611111111111,5.824999999999999,16.799999999999997,3.1849999999999996,20.455
317,9.591666666666667,3.625,13.875,0.8750000000000002,16.645
318,9.441666666666666,3.875,15.274999999999999,1.3175,18.215
319,9.875,4.375,15.975,2.1925,20.362499999999994
320,10.276388888888889,4.3,15.575,2.1425,17.1125
321,8.902777777777779,3.575,13.425,1.9475,15
322,8.469444444444445,4.6,12.35,1.875,16.444999999999997
323,8.902777777777779,4.300000000000001,13.899999999999999,-0.24499999999999955,17.025
324,9.091666666666667,4.7,14.149999999999999,1.1150000000000002,17.724999999999998
325,9.027777777777779,4.875,14.149999999999999,2.4450000000000003,18.992499999999996
326,9.019444444444444,2.55,13.850000000000001,1.31,16.9225
327,8.094444444444445,1.6500000000000001,14.875,-0.5425,16.369999999999997
328,7.945833333333334,2.925,12.5,0.34,16.944999999999997
329,8.016666666666667,2.625,14.45,-1.5599999999999998,16.919999999999998
330,8.61111111111111,3.625,13.75,1.9475,16.104999999999997
331,8.820833333333333,4.0249999999999995,14.149999999999999,2.2475,14.895
332,8.734722222222222,2.35,13.925,1.135,17.2325
333,7.9375,2.125,13.475000000000001,-0.5024999999999998,16.012500000000003
334,7.481944444444444,3.05,13.175,1.4850000000000003,16.639999999999997
335,7.579166666666667,3.45,15,0.21000000000000005,16.402499999999996
336,7.179166666666666,3.25,10.899999999999999,2.2474999999999996,12.959999999999997
337,7.151388888888889,2.125,11.8,0.21000000000000005,13.23
338,6.804166666666667,1.8,12.375,-2.53,16.864999999999995
339,6.454166666666667,0.675,15.100000000000001,-1.71,17.932499999999997
340,6.305555555555555,0.825,13.725000000000001,-1.6524999999999999,18.304999999999996
